campaign_name,date,country,impressions,clicks,spend,purchases,revenue,CTR,CPC,CPM,ROI
unknown_campaign,2026-02-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 11th june | tof | abo | india | lal 3% - 5% | sales,2026-03-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 11th june | tof | abo | india | lal 3% - 5% | sales,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 11th june | tof | abo | india | lal 3% - 5% | sales,2026-11-01 00:00:00,nan,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 16th june | tof | india | asc | cac | sales,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 23rd sept | tof | abo | sales,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 2nd december | abo | sale,2026-02-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 2nd december | abo | sale,2026-03-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 2nd december | abo | sale,2026-04-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 2nd december | abo | sale,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 9th october 25 | mof | sales | women,2026-02-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | mof + bof | conversion | india,2026-08-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
unknown_campaign,2026-09-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | mof + bof | conversion | india,2026-10-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | mof + bof | conversion | india,2026-02-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | mof + bof | conversion | india,2026-03-01 00:00:00,unknown_country,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | mof + bof | conversion | india,2026-04-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | tof | conversion | india,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | tof | conversion | india,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | tof | conversion | india,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | tof | india | open | sales,2026-01-01 00:00:00,india,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
growify | 9th october 25 | mof | sales | women,2026-11-01 00:00:00,india,0.0,0.0,0.16,0.0,0.0,,0.0,0.0,-1.0
growify | tof | conversion | india,2026-06-01 00:00:00,india,10.0,0.0,1.78,0.0,0.0,0.0,0.0,178.0,-1.0
